Antigua and Barbuda,SAINT JOHN'S
Bahamas,NASSAU
Barbados,BRIDGETOWN
Belize,BELMOPAN
Canada,OTTAWA
Costa Rica,SAN JOSE
Cuba,HAVANA
Dominica,ROSEAU
Dominican Republic,SANTO DOMINGO
El Salvador,SAN SALVADOR
Grenada,SAINT GEORGE'S
Guatemala,GUATEMALA CITY
Haiti,PORT AU PRINCE
Honduras,TEGUCIGALPA
Jamaica,KINGSTON
Mexico,MEXICO CITY
Nicaragua,MANAGUA
Panama,PANAMA CITY
Saint Kitts and Nevis,BASSETERRE
Saint Lucia,CASTRIES
Saint Vincent and the Grenadines,KINGSTOWN
Trinidad and Tobago,PORT OF SPAIN
United States of America,WASHINGTON DC
Argentina,BUENOS AIRES
Bolivia,LA PAZ
Brazil,BRASILIA
Chile,SANTIAGO
Colombia,BOGOTA
Ecuador,QUITO
Guyana,GEORGETOWN
Paraguay,ASUNCION
Peru,LIMA
Suriname,PARAMARIBO
Uruguay,MONTEVIDEO
Venezuela,CARACAS
